"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Lipid metabolism","mmu00140","Steroid hormone biosynthesis","7/201","43/7516",0.162790697674419,6.08723822746732,5.54528878479675,0.000125369976778654,0.0143991463295628,0.0138544417809115,"94284/13113/394435/15497/394433/100043456/394432",7
NA,NA,"mmu04382","Cornified envelope formation","12/201","126/7516",0.0952380952380952,3.56124141198768,4.80583575822062,0.000129481170492223,0.0143991463295628,0.0138544417809115,"94179/406221/237934/20198/21818/621628/56173/320864/70810/76560/12739/16675",12
"Metabolism","Metabolism of cofactors and vitamins","mmu00830","Retinol metabolism","7/201","45/7516",0.155555555555556,5.81669430624655,5.37181848225839,0.000168739996049564,0.0143991463295628,0.0138544417809115,"67442/94284/13113/394435/394433/13118/394432",7
"Human Diseases","Cancer: overview","mmu05204","Chemical carcinogenesis - DNA adducts","6/201","39/7516",0.153846153846154,5.75277458859548,4.93254648150262,0.000530157440822111,0.0339300762126151,0.0326465371453616,"94284/14873/13113/394435/394433/394432",6
"Metabolism","Carbohydrate metabolism","mmu00053","Ascorbate and aldarate metabolism","4/201","16/7516",0.25,9.34825870646766,5.54090385803722,0.000701787156302078,0.0359315024026664,0.0345722514894076,"94284/394435/394433/394432",4
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00980","Metabolism of xenobiotics by cytochrome P450","6/201","43/7516",0.13953488372093,5.21763276640056,4.59738479547399,0.000906480928371774,0.038676519610529,0.0372134275857886,"94284/14873/109857/394435/394433/394432",6
