"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Immune disease","mmu05322","Systemic lupus erythematosus","7/106","83/7024",0.0843373493975904,5.58854285064787,5.20507274812261,0.000236629491369458,0.0302137662239675,0.0302137662239675,"319190/69386/97114/319158/319178/319165/319172",7
"Organismal Systems","Immune system","mmu04613","Neutrophil extracellular trap formation","9/106","144/7024",0.0625,4.14150943396226,4.7146491910916,0.000302160360605336,0.0302137662239675,0.0302137662239675,"20345/319190/69386/64008/97114/319158/319178/319165/319172",9
"Human Diseases","Substance dependence","mmu05034","Alcoholism","9/106","152/7024",0.0592105263157895,3.92353525322741,4.51037386109252,0.000450951734686082,0.0302137662239675,0.0302137662239675,"20418/66066/319190/69386/97114/319158/319178/319165/319172",9
