"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042742","defense response to bacterium","63/843","197/15704",0.319796954314721,5.95740376104196,16.6764880703957,2.91755354525521e-32,1.2503043102121e-29,9.74379126597194e-30,"Bcl3/Tnfrsf1a/Gbp3/Lcn2/Lbp/Casp4/Pglyrp1/Gbp9/Hck/Lgals9/Tlr2/Nfkbiz/Irf8/Irgm1/H2-K1/Cxcl13/Tnf/Fpr2/Myd88/Fgr/Irgm2/Cebpb/Gbp4/Gbp2/Inhca/C5ar1/Fcer1g/Hmgb2/Gbp7/Rnf213/Igtp/B2m/Isg15/Oas1b/Cxcl5/Pycard/Nod2/Oas3/Hp/Oas1g/Gsdmd/Nlrp3/Tirap/Oas1a/Il1b/H2-T23/Muc5b/Naip2/Stab2/Lta/Nlrp6/Nos2/Gbp8/Serpine1/Gbp11/Oas2/Adamts4/Il10/Scnn1b/Tnfrsf14/Pfpl/Oas1c/Hamp",63
"GO:0035456","response to interferon-beta","38/843","64/15704",0.59375,11.0607947805457,19.2081256756022,3.83654362815794e-32,1.50712222192804e-29,1.17452081247993e-29,"Ifitm2/Gbp3/Ifitm1/Ifitm3/Bst2/Ifi204/Ifi207/Ikbke/Gm4841/Irf1/Irgm1/Irgm2/Iigp1c/Gbp2/Tgtp2/Ifi211/Gbp7/Ifit1/Igtp/Xaf1/Ifit3/Plscr1/Stat1/Ifi47/Oas1b/Gm5431/Oas1g/Gm12185/Tlr3/Oas1a/Acod1/Tgtp1/Ifi205/Ifitm7/Sting1/Ifi203/Ifi202b/Oas1c",38
"GO:0002833","positive regulation of response to biotic stimulus","83/843","351/15704",0.236467236467236,4.40507886296736,15.3661544334651,1.4339548893337e-31,5.19974103716851e-29,4.05222879657863e-29,"Nlrc5/Cd14/Gbp3/Irak3/Il18rap/Zbp1/Lbp/Casp4/Irf7/Tlr7/Rnf125/Lgals9/Ifi204/Tlr2/Nfkbiz/Ifih1/Ifi207/Ikbke/Crtam/Mmp12/Gimap5/Irf1/Eif2ak2/Irak2/Irgm1/Pik3ap1/Tnip2/Slc15a3/Zc3hav1/Parp9/Oasl1/Trim25/Tnf/Fpr2/Myd88/Irgm2/Vav1/Gbp2/Nfkbia/Hmgb2/Spi1/Rela/Stat5a/Cxcl1/Cd274/Ifi211/Lacc1/Fosl1/Gbp7/Ddx60/Igtp/Tifa/Rigi/Plscr1/Ifi35/Oas1b/Pycard/Nod2/Oas3/Il21/Oas1g/Nlrp3/Tirap/Trim30a/Alpk1/Tlr3/Nmi/Oas1a/Acod1/H2-T23/Trim5/Trim56/Dhx58/Nlrp6/Ifi205/Pvr/Trim30d/S100a8/Trim12a/S100a9/Sting1/Ifi203/Oas1c",83
"GO:0002449","lymphocyte mediated immunity","70/843","252/15704",0.277777777777778,5.17464083300382,15.9113900801334,2.07277927025656e-31,6.97934391427817e-29,5.43909748360557e-29,"Il4ra/Bcl3/Csf2rb/Serping1/Il18rap/Irf7/Tap1/Slfn2/Lgals9/Fcgr4/Nfkbiz/C1s1/H2-Q7/Tap2/Crtam/Fas/Gimap5/Il1r1/H2-K1/Csf2rb2/Icosl/Stx11/Parp3/Tnf/Myd88/Vav1/H2-D1/Fcer1g/Fgl2/H2-Q6/Stat5a/Cd274/Icam1/C3/Il6/Tnfrsf1b/B2m/H2-Q4/Il20rb/Nod2/C8b/Il21/Ctsc/Pirb/Nlrp3/C1ra/H2-T22/Arid5a/Fcgr2b/Ager/Fcer2a/Il1b/C8a/H2-T23/Ripk3/Lilrb4a/Lta/Pvr/C2/Clcf1/H2-Q2/Myo1g/H2-Q1/H2-T10/Fut7/Clec2d/Cd40/Slamf1/H2-Q10/H2-Bl",70
"GO:0002250","adaptive immune response","83/843","358/15704",0.231843575418994,4.31894603603783,15.1295215076731,6.51787586708536e-31,2.04835112249602e-28,1.5963078439388e-28,"Il4ra/Bcl3/Csf2rb/Serping1/Il18rap/Irf7/Tap1/Slfn2/Il6ra/Rnf125/Fcgr4/Zc3h12a/Nfkbiz/C1s1/H2-Q7/Tap2/Crtam/Fas/Gimap5/Il1r1/Irf1/Nfkb2/Stat3/Relb/H2-K1/Csf2rb2/Icosl/Il17ra/Stx11/Parp3/Tnf/Erap1/Myd88/H2-D1/Fcer1g/Fgl2/H2-Q6/Cd274/Icam1/C3/Il6/Tnfrsf1b/B2m/H2-Q4/Il20rb/Pycard/Nod2/C8b/Ctsc/Cd44/Pirb/Nlrp3/C1ra/H2-T22/Arid5a/Tnfsf13b/Fcgr2b/Ager/Fcer2a/Il1b/C8a/H2-T23/Gadd45g/Ripk3/Mcoln2/Lilrb4a/Lta/Serpina3g/Pvr/C2/Clcf1/H2-Q2/Fcamr/Myo1g/H2-Q1/H2-T10/Fut7/Tnfrsf14/Itk/Cd40/Slamf1/H2-Q10/H2-Bl",83
"GO:0050727","regulation of inflammatory response","76/843","307/15704",0.247557003257329,4.61166687918517,15.2208850074181,2.26402989468435e-30,6.67039807721378e-28,5.19833179766342e-28,"Cdh5/Tnfrsf1a/Gbp3/Zbp1/Lbp/Casp4/Pglyrp1/Lgals9/Tlr2/Nfkbiz/Ier3/Siglece/Map3k8/Elf4/Ctla2a/Il1r1/Stat3/Irgm1/Pik3ap1/Il17ra/Socs3/Casp12/Tnf/Fpr2/Myd88/Irgm2/Cebpb/Gbp2/Fcer1g/Nfkbia/Rela/Stat5a/Sbno2/Lacc1/Usp18/Ripk1/C3/Il6/Tnfrsf1b/Igtp/Ifi35/Il20rb/Aoah/Ptgs2/Pycard/Nod2/Sphk1/Trpv4/Ctsc/Cd44/Nupr1/Gsdmd/Nlrp3/Zfp36/Nmi/Ptges/Fcgr2b/Ager/Acod1/Il1b/H2-T23/Gpr31b/Lta/Nlrp6/Serpine1/Clcf1/Ccl3/S100a8/Cst7/Il10/Fut7/S100a9/Sting1/Nppa/Foxf1/Hamp",76
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","72/843","282/15704",0.25531914893617,4.75626561671841,15.1597341481461,1.00011045082549e-29,2.77324745011256e-27,2.16122939528233e-27,"Il4ra/Bcl3/Csf2rb/Serping1/Il18rap/Irf7/Slfn2/Il6ra/Fcgr4/Zc3h12a/Nfkbiz/C1s1/H2-Q7/Tap2/Fas/Gimap5/Il1r1/Irf1/Nfkb2/Stat3/Relb/H2-K1/Csf2rb2/Icosl/Il17ra/Stx11/Parp3/Tnf/Myd88/H2-D1/Fcer1g/Fgl2/H2-Q6/Cd274/Icam1/C3/Il6/Tnfrsf1b/B2m/H2-Q4/Il20rb/Nod2/C8b/Ctsc/Pirb/Nlrp3/C1ra/H2-T22/Arid5a/Tnfsf13b/Fcgr2b/Ager/Fcer2a/Il1b/C8a/H2-T23/Gadd45g/Ripk3/Lilrb4a/Lta/Pvr/C2/Clcf1/H2-Q2/Myo1g/H2-Q1/H2-T10/Fut7/Cd40/Slamf1/H2-Q10/H2-Bl",72
"GO:0002253","activation of immune response","92/843","451/15704",0.203991130820399,3.8000910064099,14.3702349250769,1.23814614484998e-29,3.24256718156823e-27,2.52697663481078e-27,"Cd14/Gbp3/Serping1/Irak3/Zbp1/Lbp/Casp4/Irf7/Tlr7/Rnf125/Ifi204/Tlr2/Zc3h12a/Nfkbiz/Ifih1/C1s1/Ifi207/Ikbke/Irf1/Eif2ak2/Irak2/Irgm1/Pik3ap1/Tnip2/Icosl/Slc15a3/Zc3hav1/Fyb1/Oasl1/Lcp2/Trim25/Tnf/Fpr2/Myd88/Irgm2/Gbp2/C5ar1/Fcer1g/Nfkbia/Rela/Cd274/Ifi211/Lacc1/Fosl1/Gbp7/Ddx60/C3/Igtp/Tifa/Fpr1/Rigi/Plscr1/Ifi35/Oas1b/A2m/Plscr2/Pycard/Nod2/C8b/Oas3/Ezr/Oas1g/Nlrp3/C1ra/Tirap/Lpxn/Trim30a/Alpk1/Tlr3/Nmi/Oas1a/Acod1/Il1b/C8a/Lilrb4a/Cfb/Trim5/Dhx58/Nlrp6/Ifi205/Trim30d/C2/Itgam/S100a8/Myo1g/Trim12a/S100a9/Sting1/Itk/Lck/Ifi203/Oas1c",92
"GO:0002703","regulation of leukocyte mediated immunity","63/843","222/15704",0.283783783783784,5.28652495912282,15.319669568828,6.21927336123512e-29,1.54303445394012e-26,1.20250770253244e-26,"Il4ra/Il18rap/Tap1/Bst2/Lgals9/Tlr2/H2-Q7/Tap2/Crtam/Gimap5/Il1r1/H2-K1/Gab2/Parp3/Tnf/Fgr/Vav1/H2-D1/Fcer1g/Spi1/H2-Q6/Stat5a/Cxcl1/Cd274/Rac2/C3/Il6/Tnfrsf1b/B2m/H2-Q4/Rigi/Il20rb/Cxcl5/Nod2/Il21/Nlrp3/Hmox1/H2-T22/Arid5a/Tlr3/Fcgr2b/Ager/Fcer2a/Il1b/H2-T23/Ripk3/Lilrb4a/Lta/Pvr/Itgam/Clcf1/Fes/H2-Q2/H2-Q1/H2-T10/Fut7/Clec2d/Cd40/Nppa/Foxf1/Slamf1/H2-Q10/H2-Bl",63
"GO:0001906","cell killing","53/843","166/15704",0.319277108433735,5.94771970444054,15.2630968245995,2.94120689773546e-27,6.93242465796248e-25,5.40253267005093e-25,"Gbp3/Il18rap/Pglyrp1/Tap1/Lgals9/Fcgr4/H2-Q7/Tap2/Crtam/Gimap5/H2-K1/Stx11/Cxcl13/Myd88/Irgm2/Vav1/Gbp2/H2-D1/Fgl2/Spi1/H2-Q6/Stat5a/Cxcl1/Gbp7/C3/Igtp/B2m/H2-Q4/Cxcl5/C8b/Il21/Ctsc/H2-T22/Ccl17/Fcgr2b/Ager/Fcer2a/Ccl11/C8a/H2-T23/Ripk3/Nlrp6/Nos2/Pvr/Itgam/H2-Q2/H2-Q1/Scnn1b/H2-T10/Clec2d/H2-Q10/H2-Bl/Hamp",53
"GO:0002699","positive regulation of immune effector process","61/843","227/15704",0.268722466960352,5.00595210100282,14.4795936787856,1.26731398823412e-26,2.84481816215983e-24,2.2170054230261e-24,"Il4ra/Il18rap/Lbp/Casp4/Il13ra1/Tlr7/Tlr2/Nfkbiz/H2-Q7/Tap2/Crtam/Gimap5/Il1r1/Irf1/H2-K1/Gab2/Tnf/Myd88/Fgr/Vav1/H2-D1/Fcer1g/Spi1/H2-Q6/Stat5a/Cxcl1/Lacc1/Ddx60/C3/Il6/B2m/H2-Q4/Rigi/Pycard/Nod2/Il21/Nlrp3/Tnfrsf4/Tirap/H2-T22/Arid5a/Tlr3/Fcer2a/Il1b/H2-T23/Lilrb4a/Lta/Dhx58/Pvr/Itgam/Clcf1/H2-Q2/H2-Q1/Il10/H2-T10/Tnfrsf14/Cd40/Nppa/Slamf1/H2-Q10/H2-Bl",61
"GO:0071219","cellular response to molecule of bacterial origin","59/843","219/15704",0.269406392694064,5.01869275310508,14.2637047904567,7.5846878119407e-26,1.62519174297675e-23,1.26653399347718e-23,"Cd14/Gbp3/Irak3/Lbp/Fcgr4/Tlr2/Zc3h12a/Nfkbiz/Irf8/Litaf/Irak2/Irgm1/Tnip2/Cxcl13/Tnf/Myd88/Irgm2/Cebpb/Gbp2/Nfkbia/Hmgb2/Spi1/Rela/Cxcl1/Sbno2/Csf3/Cd274/Il6/Tnfrsf1b/Igtp/B2m/Plscr1/Stat1/Cxcl5/Ptgs2/Plscr2/Pycard/Nod2/Nlrp3/Zfp36/Tirap/Trib1/Trim30a/Arid5a/Fcgr2b/Acod1/Il1b/Tspo/Lilrb4a/Trim5/Nos2/Trim30d/Serpine1/Cmpk2/Il10/Il1a/Trim12a/Mir425/Mir150",59
"GO:0002218","activation of innate immune response","65/843","269/15704",0.241635687732342,4.50136042722266,13.7956042575951,1.88519357917052e-25,3.86382718791732e-23,3.01113299373232e-23,"Cd14/Gbp3/Irak3/Zbp1/Lbp/Casp4/Irf7/Tlr7/Rnf125/Ifi204/Tlr2/Nfkbiz/Ifih1/Ifi207/Ikbke/Irf1/Eif2ak2/Irak2/Irgm1/Pik3ap1/Tnip2/Slc15a3/Zc3hav1/Oasl1/Trim25/Tnf/Myd88/Irgm2/Gbp2/Nfkbia/Rela/Cd274/Ifi211/Lacc1/Fosl1/Gbp7/Ddx60/Igtp/Tifa/Rigi/Ifi35/Oas1b/Pycard/Nod2/Oas3/Oas1g/Nlrp3/Tirap/Trim30a/Alpk1/Tlr3/Nmi/Oas1a/Acod1/Trim5/Dhx58/Nlrp6/Ifi205/Trim30d/S100a8/Trim12a/S100a9/Sting1/Ifi203/Oas1c",65
"GO:0035458","cellular response to interferon-beta","31/843","56/15704",0.553571428571429,10.3123199457719,16.6266046075366,3.81737750980645e-25,7.49796565884484e-23,5.84326645141426e-23,"Ifitm2/Gbp3/Ifi204/Ifi207/Gm4841/Irf1/Irgm1/Irgm2/Iigp1c/Gbp2/Tgtp2/Ifi211/Gbp7/Ifit1/Igtp/Ifit3/Stat1/Ifi47/Oas1b/Gm5431/Oas1g/Gm12185/Tlr3/Oas1a/Acod1/Tgtp1/Ifi205/Sting1/Ifi203/Ifi202b/Oas1c",31
"GO:0071216","cellular response to biotic stimulus","61/843","246/15704",0.247967479674797,4.61931352409609,13.6269352794864,1.38180959263231e-24,2.60554016786748e-22,2.03053283296284e-22,"Txnip/Cd14/Gbp3/Irak3/Lbp/Fcgr4/Tlr2/Zc3h12a/Nfkbiz/Irf8/Litaf/Irak2/Irgm1/Tnip2/Cxcl13/Tnf/Myd88/Irgm2/Cebpb/Gbp2/Nfkbia/Hmgb2/Spi1/Rela/Cxcl1/Sbno2/Csf3/Cd274/Il6/Tnfrsf1b/Igtp/B2m/Plscr1/Stat1/Cxcl5/Ptgs2/Plscr2/Pycard/Nod2/Nlrp3/Zfp36/Tirap/Bid/Trib1/Trim30a/Arid5a/Fcgr2b/Acod1/Il1b/Tspo/Lilrb4a/Trim5/Nos2/Trim30d/Serpine1/Cmpk2/Il10/Il1a/Trim12a/Mir425/Mir150",61
"GO:0071222","cellular response to lipopolysaccharide","56/843","211/15704",0.265402843601896,4.94411181011171,13.7373755433832,3.12187903700335e-24,5.66020683862839e-22,4.41107604823551e-22,"Cd14/Gbp3/Irak3/Lbp/Fcgr4/Zc3h12a/Nfkbiz/Irf8/Litaf/Irak2/Irgm1/Tnip2/Cxcl13/Tnf/Myd88/Irgm2/Cebpb/Gbp2/Nfkbia/Hmgb2/Spi1/Rela/Cxcl1/Sbno2/Csf3/Cd274/Il6/Tnfrsf1b/Igtp/B2m/Plscr1/Stat1/Cxcl5/Ptgs2/Plscr2/Pycard/Nod2/Nlrp3/Zfp36/Trib1/Trim30a/Arid5a/Acod1/Il1b/Tspo/Lilrb4a/Trim5/Nos2/Trim30d/Serpine1/Cmpk2/Il10/Il1a/Trim12a/Mir425/Mir150",56
