"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","24/436","77/7024",0.311688311688312,5.02132729655665,9.12733348439744,1.46250931331707e-11,2.72392359605305e-10,2.01095030581098e-10,"16819/56489/16172/21926/12608/20306/18035/19697/14825/12985/14283/16193/20293/20311/19225/20295/20292/16176/74180/17386/20201/12370/20202/17833",24
"Human Diseases","Infectious disease: viral","mmu05171","Coronavirus disease","41/436","208/7024",0.197115384615385,3.17554693013409,8.19338035739684,1.74502121932329e-11,3.05891954916671e-10,2.25826275441838e-10,"21937/20344/16194/170743/24088/71586/50908/20847/56489/19106/20848/21926/17874/12273/18035/19697/13058/12985/16391/12266/16193/20293/230073/20846/100038882/23961/110382/246727/23960/216799/50909/142980/246730/16176/230558/14962/12263/246728/17858/72512/50528",41
"Human Diseases","Infectious disease: parasitic","mmu05144","Malaria","18/436","43/7024",0.418604651162791,6.743759334329,9.71850420460697,1.90533009129581e-11,3.15437981781195e-10,2.32873677825043e-10,"20344/24088/20339/21926/17874/22329/12985/15894/16193/20293/21825/16633/16176/21828/16153/16408/21939/71683",18
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","41/436","212/7024",0.193396226415094,3.11563095032024,8.04633863668183,3.29457683379375e-11,5.16728366563441e-10,3.81477317597171e-10,"21937/12575/21356/21354/16194/15018/21355/17869/14102/16177/20848/14972/21926/14964/18035/19697/110557/19766/19354/16193/20293/12010/15015/19225/15039/12122/16176/15040/213233/15013/20302/26427/630294/15006/12370/15024/12768/72512/15007/14963/20303",41
"Human Diseases","Infectious disease: viral","mmu05160","Hepatitis C","30/436","131/7024",0.229007633587786,3.68933398697388,7.99289361461527,2.26830355563286e-10,3.37977229789296e-09,2.49513391119615e-09,"21937/12575/54123/17869/20847/56489/14102/19106/20848/12702/21926/18035/19697/16391/15957/667373/19766/230073/20846/23961/246727/23960/12122/142980/246730/13645/112419/246728/12370/17858",30
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis","21/436","67/7024",0.313432835820896,5.04943174038067,8.5673846507762,2.51830443691581e-10,3.57359391524243e-09,2.63822369581656e-09,"12475/12258/50908/15900/16362/21926/17874/19697/12266/16193/20311/66824/216799/50909/117149/16176/18126/12263/16409/16153/16175",21
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection","16/436","39/7024",0.41025641025641,6.60926840743354,9.03614317738864,3.71499956322792e-10,5.03213577200873e-09,3.71499956322792e-09,"20344/246256/50908/14289/12273/15894/12266/14293/50909/14130/14962/18815/12263/16409/16153/16408",16
"Organismal Systems","Immune system","mmu04620","Toll-like receptor signaling pathway","23/436","82/7024",0.280487804878049,4.5186842694115,8.24465912700454,4.22996877381544e-10,5.48056823737827e-09,4.04605708799738e-09,"12475/16803/54123/170743/24088/20847/56489/26410/21926/17874/18035/19697/16391/19766/16193/20846/117149/142980/16176/20302/12370/21939/20303",23
"Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection","38/436","211/7024",0.180094786729858,2.90134353667551,7.21373874119965,1.54649371531685e-09,1.92022969651843e-08,1.41761923904045e-08,"21937/12575/15018/17869/16177/18034/19698/14972/21926/14964/18035/20375/19697/110557/21813/20850/14283/15894/16193/12010/15015/16169/22695/15039/12257/15040/16992/15013/26427/630294/15006/15024/16408/16818/21939/15007/14963/19428",38
"Organismal Systems","Immune system","mmu04623","Cytosolic DNA-sensing pathway","19/436","62/7024",0.306451612903226,4.93696359869784,8.00973260928816,2.80601105418623e-09,3.34476517658998e-08,2.46928972768388e-08,"58203/54123/15951/56489/74568/18035/19697/19766/16193/230073/66824/69146/216799/16176/56532/12370/72512/26388/20303",19
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecule (CAM) interaction","28/436","130/7024",0.215384615384615,3.46986591390261,7.3120170730995,4.06297769216746e-09,4.65679750871501e-08,3.43790420106478e-08,"12562/20344/15018/20971/14972/50723/20339/20612/14964/110557/22329/60533/15894/15015/15039/100043314/15040/17123/52118/16409/15013/630294/15006/15024/16408/21939/15007/14963",28
"Human Diseases","Cardiovascular disease","mmu05416","Viral myocarditis","19/436","64/7024",0.296875,4.78268348623853,7.82011526231301,5.08697468418782e-09,5.61451279958507e-08,4.14494233526415e-08,"15018/14972/14964/110557/15894/19354/15015/15039/12122/15040/15013/630294/15006/12370/15024/16408/21939/15007/14963",19
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","26/436","116/7024",0.224137931034483,3.61088263207846,7.29403701725872,6.08196331317868e-09,6.47294666902588e-08,4.77868546035468e-08,"21937/12977/246256/20847/16177/18034/19698/14389/16822/12702/21926/18035/20375/19697/21813/16391/14283/20846/18733/14130/12703/16176/14728/237038/16175/16818",26
