"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Folding, sorting and degradation","mmu03050","Proteasome","24/850","47/7697",0.51063829787234,4.62397997496871,8.78002654765829,1.06258404315371e-11,3.61278574672262e-09,3.56804536595826e-09,"22123/26443/26444/26445/69077/59029/19167/23996/26442/19166/67089/26441/19185/228769/57296/66413/56436/19172/66997/26446/19179/26440/19177/66537",24
"Genetic Information Processing","Translation","mmu03008","Ribosome biogenesis in eukaryotes","26/850","77/7697",0.337662337662338,3.05763177998472,6.39333357159398,8.35728607179379e-08,1.42073863220494e-05,1.40314434573801e-05,"213773/59028/55989/14113/52530/24128/110816/67134/72515/224092/72554/217995/73736/217109/24127/19384/66932/98956/68147/57815/230737/97112/105372/67619/21771/69237",26
"Human Diseases","Neurodegenerative disease","mmu05017","Spinocerebellar ataxia","35/850","138/7697",0.253623188405797,2.29663256606991,5.41522023680463,1.50427828229495e-06,0.000170484871993428,0.000168373604228803,"22123/26443/26444/26445/69077/59029/19167/23996/26442/19166/67089/67134/26441/19185/57296/66413/56436/19172/66997/26446/19179/26440/19177/22030/56208/18798/16504/18707/71722/21374/22433/20743/14813/14810/14816",35
"Environmental Information Processing","Signaling molecules and interaction","mmu04080","Neuroactive ligand-receptor interaction","52/850","298/7697",0.174496644295302,1.5801184366364,3.59857132293358,0.000482812395418805,0.0410390536105985,0.0405308300364734,"12311/381677/230777/385643/13609/171530/19222/14608/12918/67405/208188/15466/15465/15558/22044/70086/18386/20604/12921/15552/14813/18389/242425/11444/13488/16846/68039/21334/237213/14810/14938/110902/14064/15171/13492/14065/22353/15559/216749/94045/108043/229214/110304/14816/116903/108068/14654/21333/226278/15563/231252/14406",52
